Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Crown Castle,Y,TX,"4,500",1994,Jay A. Brown,CCI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,9,"5,773.00",2019,http://www.crowncastle.com/,http://www.crowncastle.com/public-safety/,n/a,n/a,FactSet,https://www.apcointl.org/commercial-community/corporate-partner-program.html,254
Gilbane,Y,RI,"3,134",1873,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,"n/a,","5,728.00",2018,http://www.gilbaneco.com/,http://www.gilbaneco.com/markets/overview-2/criminal-justice/correctional-facilities/,n/a,n/a,PrivCo (www.privco.com),n/a,255
ACE Hardware,Y,IL,"5,456",1924,John Venhuizen,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,","5,717.00",2018,www.acehardware.com,http://www.dc.state.fl.us/business/contracts/,n/a,n/a,PrivCo (www.privco.com),n/a,256
Post Holdings,Y,MO,"11,410",1895,Howard A. Friedman,POST,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Commissary,n/a,n/a,7,"5,681.10",2019,https://www.postholdings.com/,See Mom Brands,n/a,n/a,FactSet,http://mombrands.com/2015/01/mom-brands-signs-definitive-agreement-sale-company-post-holdings/,257
Patterson Companies,Y,MN,"7,500",1878,Mark Walchirk,PDCO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Equipment,n/a,n/a,6,"5,574.50",2019,http://www.pattersoncompanies.com/,See Patterson Dental,n/a,n/a,FactSet,http://www.pattersoncompanies.com/Dental,258
Energy Future Holdings,Y,TX,"8,500",1882,n/a,SRE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"5,500.00",2017,http://www.energyfutureholdings.com,See Oncor Electric Delivery,n/a,n/a,PrivCo (www.privco.com),https://www.transmissionhub.com/articles/2018/03/sempra-energy-9-45bn-acquisition-of-energy-future-holdings-complete.html,259
Diplomat Pharmacy,Y,MI,"2,419",1975,Brian Griffin,DPLO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"5,492.50",2018,https://www.diplomatpharmacy.com/,FL DOC Spending,n/a,n/a,FactSet,n/a,260
Network Technology,Y,United Kingdom,55,1985,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,","5,433.40",2017,http://www.network-technology.com,"See Ringdale, ActiveLED",n/a,See corrections source,http://www.network-technology.com/2017AR.pdf,http://www.network-technology.com/groupcompanies.asp,261
Waste Connections,Y,Canada,"15,283",1997,Worthing F. Jackman,WCN,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Maintenance Services,n/a,n/a,7,"5,388.70",2019,http://www.wasteconnectionsokc.com/,FL DOC Spending,n/a,n/a,FactSet,n/a,262
Roper Technologies,Y,FL,"15,611",1981,Neil Hunn,ROP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,11,"5,366.80",2019,https://www.ropertech.com/,See Deltek,n/a,n/a,FactSet,https://www.ropertech.com/roper-technologies-acquire-deltek-leading-provider-software-and-solutions-project-based-businesses,263
Carahsoft Technology,Y,VA,"1,282",2004,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,","5,350.00",2018,http://www.carahsoft.com/,FL DOC Spending,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,264
Elior Group,Y,France,"132,000",1993,Philippe Guillemot,ELIOR-FR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,Y,12,"5,341.20",2019,https://www.eliorgroup.com,"See Valley, A'viands, ABL Management",n/a,"See Valley, A'viands, ABL Management",FactSet,n/a,265
MDU Resources Group,Y,ND,"10,140",1924,David L. Goodin,MDU,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,12,"5,336.80",2019,http://www.mdu.com/,See Knife River,n/a,n/a,FactSet,n/a,266
Fastenal Company,Y,MN,"20,565",1967,Daniel L. Florness,FAST,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,9,"5,333.70",2019,https://www.fastenal.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,267
Airgas,Y,PA,"18,000",1982,n/a,AIQUY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,7,"5,313.80",2016,https://www.airgas.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310004053-T.pdf,n/a,n/a,https://www.sec.gov/Archives/edgar/data/804212/000080421216000048/arg-33116form10xk.htm#sBE7803C839FF1A0BEB019C21B34C7E17,https://www.nytimes.com/2015/11/18/business/dealbook/air-liquide-to-acquire-airgas-for-10-3-billion.html?mtrref=www.google.com&gwh=D11DD5E429DB125C2AD82960FFBA548E&gwt=pay,268
American Tire Distributors,Y,NC,"4,700",1935,Stuart Schuette,ARES,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"5,300.00",2018,http://atd-us.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),https://www.businesswire.com/news/home/20150203006405/en/American-Tire-Distributors-Announces-Investment-Ares-Management,269
Kinray,Y,NY,"1,100",1940,n/a,CAH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"5,300.00",2010,https://www.kinray.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),http://ir.cardinalhealth.com/news/press-release-details/2010/Cardinal-Health-To-Acquire-Kinray-for-13-Billion/default.aspx,270
Western Union,Y,CO,"11,500",1851,Hikmet Ersek,WU,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Money Transfers,Y,n/a,12,"5,292.10",2019,https://www.westernunion.com/,https://www.westernunion.com/us/en/send-money/app/sendinmatestart,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,271
CH2M Hill,Y,CO,"19,663",1946,n/a,J,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,9,"5,235.90",2016,https://www.ch2m.com/,http://correctionsmarketplace.com/,n/a,n/a,PrivCo (www.privco.com),http://invest.jacobs.com/investors/Press-Release-Details/2017/Jacobs-Completes-CH2M-Acquisition-Creating-15-Billion-Professional-Services-Leader-Focused-on-Delivering-Innovative-Solutions-for-a-More-Connected-Sustainable-World/default.aspx,272
TransDigm,Y,OH,"18,000",1993,Kevin Stein,TDG,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,11,"5,223.20",2019,https://www.transdigm.com/,See Esterline,n/a,n/a,FactSet,n/a,273
Windstream Communications,Y,AR,"12,979",2006,Anthony W. Thomas,WINMQ,Tier 1b - Publicly Traded - Other,Equipment,Security Technology,n/a,n/a,7,"5,100.00",2018,https://www.windstream.com,TDCJ Spending,n/a,n/a,FactSet,n/a,274
CACI International,Y,VA,"18,800",1962,John S. Mengucci,CACI,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"4,986.30",2019,http://www.caci.com/about.shtml,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,275
Motion Industries,Y,AL,"6,974",1946,n/a,GPC,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"4,890.00",2017,https://www.motionindustries.com/,TDCJ Spending,n/a,n/a,https://www.inddist.com/article/2018/09/industrial-distributions-2018-big-50-list,https://en.wikipedia.org/wiki/Motion_Industries,276
Fiber SenSys,Y,OR,,1990,n/a,6914-JP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Construction,n/a,n/a,13,"4,870.00",2009,https://fibersensys.com/,FL DOC Spending,n/a,n/a,http://www.optex.co.jp/e/cgifile/whatsnew/20100803175658_1.pdf,https://www.gsnmagazine.com/article/21600/optex_japan_acquires_fiber_sensys_inc,277
Pearson,Y,United Kingdom,"35,000",1962,John Fallon,PSO-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,7,"4,815.40",2019,https://www.pearson.com/us/,OH DRC Spending,n/a,n/a,FactSet,https://www.pearson.com/us/higher-education/products-services-institutions/alternative-credentials.html,278
Sealed Air,Y,NJ,n/a,n/a,Edward L. Doheny II,SEE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,8,"4,791.10",2019,https://sealedair.com/,https://aja.multiview.com/,n/a,n/a,FactSet,n/a,279
Symantec,Y,CA,"11,800",1982,Vincent Pilette,SYMC,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,7,"4,762.00",2019,https://www.symantec.com/,n/a,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,FactSet,n/a,280
Leggett & Platt,Y,MO,"22,200",1883,Karl G. Glassman,LEG,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,9,"4,752.50",2019,http://www.leggett.com/,http://correctionsmarketplace.com/,n/a,See corrections source,FactSet,http://doc.ok.gov/closed-bids,281
Smart & Final Stores,Y,CA,"12,232",1871,n/a,n/a,Tier 2 - Investment Firm-Owned,Food & Commissary,Commissary,n/a,n/a,8,"4,741.70",2018,https://www.smartandfinal.com/,California Spending Data - 2018,n/a,n/a,https://www.sec.gov/Archives/edgar/data/1563407/000104746919001282/a2237977z10-k.htm#dk77201_item_6._selected_financial_data.,https://www.supermarketnews.com/retail-financial/smart-final-becomes-private-company,282
Hensel Phelps,Y,CO,"3,546",1937,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,"n/a,","4,720.00",2018,https://www.henselphelps.com/,https://www.henselphelps.com/industry/government-justice/,n/a,n/a,PrivCo (www.privco.com),n/a,283
Consolidated Electrical Distributors,Y,TX,"6,200",1957,Jeff Wofford,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,9,"4,600.00",2019,https://cedcareers.com/,See Laird Plastics,n/a,n/a,PrivCo (www.privco.com),http://apps.sos.wv.gov/business/corporations/organization.aspx?org=197751,284
Global Payments,Y,GA,"10,000",2000,Jeffrey S. Sloan,GPN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Cash & Release Cards,n/a,n/a,11,"4,587.60",2019,https://www.globalpaymentsinc.com/en-us,https://www.globalpaymentsinc.com/en-us/industries/micropayments,n/a,n/a,FactSet,n/a,285
Genesis Healthcare,Y,PA,"68,700",1985,"George V. Hager, Jr.",GEN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,n/a,n/a,10,"4,565.80",2019,http://www.genesishcc.com/,See CareerStaff,n/a,n/a,FactSet,http://www.genesishcc.com/business-partners/business-services,286
Elbit Systems,Y,Israel,n/a,n/a,Bezhalel Machlis,ESLT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,Y,n/a,13,"4,508.40",2019,https://elbitsystems.com/,n/a,https://truthout.org/articles/the-booming-business-of-border-exclusion/,n/a,FactSet,n/a,287
Conduent (formerly Xerox Services),Y,NJ,"90,000",2016,Cliff Skelton,CNDT,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,"Arrest, Court, & Probation Data Systems",n/a,n/a,11,"4,431.00",2019,https://www.conduent.com/,https://www.conduent.com/solution/public-service-delivery-solutions/justice/,n/a,n/a,FactSet,http://www.ijis.org/?page=Member_List,288
K+S,Y,Germany,"14,793",1889,Burkhard Lohr,SDF-DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,"4,416.50",2019,http://www.k-plus-s.com/en/,See Morton Salt,n/a,n/a,FactSet,http://www.k-plus-s.com/en/fotoalbum/morton.html,289
"Scoular Company, The",Y,NE,"1,125",1892,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Food & Commissary,Prison Food,n/a,n/a,"n/a,","4,400.00",2018,https://www.scoular.com/,http://www.tjjd.texas.gov/procurement/home/index?path=/Austin%20Office%20Puchase%20Orders,n/a,n/a,PrivCo (www.privco.com),n/a,290
Uline,Y,WI,"6,000",1980,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,","4,400.00",2018,https://www.uline.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,291
Occcidental Chemical Corp (aka OxyChem),Y,TX,"3,000",1988,n/a,OXY,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,7,"4,355.00",2017,http://www.oxy.com/OurBusinesses/Chemicals/Pages/default.aspx,TDCJ Spending,n/a,See corrections source,https://www.sec.gov/Archives/edgar/data/797468/000079746818000005/oxy10k12-31x2017.htm,n/a,292
Emera,Y,Canada,"7,531",2003,Scott C. Balfour,EMA-CA,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"4,326.40",2019,http://www.emera.com/en/home/default.aspx,See Tampa Electric,n/a,n/a,FactSet,http://www.emera.com/en/home/affiliates/default.aspx,293
Walsh Group,Y,IL,"8,000",1898,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,"n/a,","4,309.80",2018,https://www.walshgroup.com/,https://www.walshgroup.com/ourexperience/building/correctional.html,n/a,n/a,PrivCo (www.privco.com),n/a,294
TreeHouse Foods,Y,IL,"12,700",2005,Steven T. Oakland,THS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Prison Food,n/a,n/a,9,"4,288.90",2019,http://www.treehousefoods.com/,See Cains Foods,n/a,n/a,FactSet,https://www.prnewswire.com/news-releases/treehouse-foods-inc-announces-acquisition-of-cains-foods-212733451.html,295
Perspecta,Y,MN,"14,000",n/a,Mac Curtis,PRSP,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,"4,274.00",2019,https://perspecta.com/,https://investors.perspecta.com/Cache/394349416.pdf,https://www.theverge.com/2018/6/20/17485238/ice-contract-microsoft-motorola-dell-hp-enterprise-deportation,n/a,FactSet,n/a,296
KKR,Y,NY,n/a,1976,George Roberts,KKR,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Investor,Equity/Debt Investor,n/a,n/a,10,"4,220.90",2019,https://www.kkr.com/?lng=1,See Optiv Security,n/a,n/a,FactSet,n/a,297
Nissin Foods,Y,Japan,"11,200",1948,Koki Ando,2897-JP,Tier 1b - Publicly Traded - Other,Food & Commissary,Commissary,n/a,n/a,9,"4,192.70",2019,https://www.nissinfoods.com/,TDCJ Spending,n/a,n/a,FactSet,n/a,298
Marmon Group,Y,IL,"13,080",1953,n/a,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,n/a,n/a,9,"4,172.50",2015,http://www.marmon.com/,See 3Wire Group,n/a,n/a,PrivCo (www.privco.com),https://dealbook.nytimes.com/2007/12/25/buffett-to-buy-marmon-from-pritzker-family/,299
New Balance,Y,MA,"8,200",1906,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,","4,100.00",2018,http://www.newbalance.com/,See Rockport Works,n/a,n/a,PrivCo (www.privco.com),http://www.berkshirepartners.com/berkshire-partners-and-new-balance-holding-complete-acquisition-of-the-rockport-company,300
Serco,Y,United Kingdom,"50,000",1929,Rupert Soames,SRP-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Operations & Management,Private Prison Operator,Y,Y,15,"4,043.00",2019,https://www.serco.com/,https://www.serco.com/sector-expertise/justice,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),Adult private facility operator,FactSet,n/a,301
TSYS,Y,GA,"11,500",1983,n/a,GPN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Financial Services,Cash & Release Cards,n/a,n/a,10,"4,028.20",2018,https://www.tsys.com/,"See NetSpend, Heartland Payment Systems, TSYS",n/a,n/a,Intrinio (www.intrinio.com),https://www.forbes.com/sites/donnafuscaldo/2019/05/28/global-payments-and-tsys-merge-in-21-5-billion-deal/#79a25caa3c3d,302
Vertex Pharmaceuticals,Y,MA,"2,300",1989,Jeffrey M. Leiden,VRTX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,n/a,n/a,9,"4,006.90",2019,https://www.vrtx.com/,NYS DOCCS Spending,n/a,n/a,FactSet,n/a,303
Mortenson,Y,WI,"5,326",1954,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,"n/a,","4,000.00",2019,http://www.mortenson.com/,http://www.mortenson.com/seattle/projects/puyallup-tribe-of-indians-correctional-facility,n/a,n/a,PrivCo (www.privco.com),n/a,304
Oncor Electric Delivery,Y,TX,"3,965",1882,n/a,SRE,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,n/a,n/a,6,"3,920.00",2016,http://www.oncor.com/,TDCJ Spending,n/a,n/a,https://www.irpass.com/profiles/investor/SecB2iView2.asp?b=2295&ID=35157&c=0001193311,https://www.sempra.com/newsroom/spotlight-articles/sempra-energy-completes-acquisition-majority-stake-oncor,305
McCarthy Building Companies,Y,MO,"5,100",1864,Ray Sedey,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,n/a,n/a,"n/a,","3,900.00",2018,https://www.mccarthy.com/,https://www.mccarthy.com/projects/justice,n/a,n/a,PrivCo (www.privco.com),n/a,306
Sulzer,Y,Switzerland,"15,500",1834,George Poux-Guillaume,SUN-CH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Maintenance Services,n/a,n/a,11,"3,848.00",2019,https://www.sulzer.com/en,See JWC Environmental,n/a,n/a,FactSet,https://www.jwce.com/blog/2018/01/11/sulzer-completes-acquisition-jwc-environmental/,307
APi Group,Y,MN,"15,000",1926,n/a,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,","3,730.30",2018,http://www.apigroupinc.com,See APi Systems,n/a,n/a,PrivCo (www.privco.com),https://www.apigroupinc.com/services/security-surveillance,308
IDEMIA (formerly OT-Morpho),Y,France,"14,000",2017,Yann Delabrière,n/a,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,Y,n/a,"n/a,","3,690.00",2017,https://www.idemia.com/,See MorphoTrust USA,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,n/a,https://www.idemia.com/our-journey,https://www.idemia.com/press-release/ot-morpho-becomes-idemia-global-leader-trusted-identities-2017-09-28,309
iHeartMedia (formerly Clear Channel Communications),Y,TX,"18,700",1972,Robert Pittman,IHRTQ,Tier 1b - Publicly Traded - Other,Other,Other,n/a,n/a,7,"3,683.50",2018,https://www.iheartmedia.com/,FL DOC Spending,n/a,n/a,FactSet,https://www.cnbc.com/2018/03/15/iheartmedia-files-for-bankruptcy.html,310
Barnes & Noble,Y,NY,"26,000",1965,n/a,n/a,Tier 2 - Investment Firm-Owned,Programs & Labor,"Education Services, Materials, & Technology",n/a,n/a,8,"3,662.30",2018,http://www.barnesandnobleinc.com/,FL DOC Spending,n/a,n/a,Intrinio (www.intrinio.com),https://www.barnesandnobleinc.com/press-release/elliott-completes-acquisition-barnes-noble/,311
